# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/1702.1.all.q/genomes/tb927_5/tb927_5.gtf" "-o" "/tmp/1702.1.all.q/B_tot_2/counts.txt" "/tmp/1702.1.all.q/B_tot_2/B_tot_2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/1702.1.all.q/B_tot_2/B_tot_2_sorted.bam
Tb927.8.310	Tb927_08_v5.1	75869	77280	+	1412	2
Tb927.8.320	Tb927_08_v5.1	80097	86013	+	5917	12
Tb927.8.330	Tb927_08_v5.1	87463	88974	+	1512	1
Tb927.8.340	Tb927_08_v5.1	90887	93874	+	2988	0
Tb927.8.350	Tb927_08_v5.1	94593	98427	+	3835	0
Tb927.8.360	Tb927_08_v5.1	98581	100054	+	1474	0
Tb927.8.370	Tb927_08_v5.1	101170	102323	+	1154	5
Tb927.8.380	Tb927_08_v5.1	102499	104385	+	1887	0
Tb927.8.390	Tb927_08_v5.1	105019	106006	+	988	5
Tb927.8.400	Tb927_08_v5.1	106153	107750	+	1598	0
Tb927.8.410	Tb927_08_v5.1	108919	110449	+	1531	0
Tb927.8.420	Tb927_08_v5.1	112157	113708	+	1552	0
Tb927.8.430	Tb927_08_v5.1	115234	116694	+	1461	0
Tb927.8.440	Tb927_08_v5.1	118408	119911	+	1504	0
Tb927.8.443	Tb927_08_v5.1	122247	122382	-	136	114
Tb927.8.446	Tb927_08_v5.1	122700	122777	-	78	1
Tb927.8.449	Tb927_08_v5.1	123108	123290	-	183	12
Tb927.8.450	Tb927_08_v5.1	124234	125246	+	1013	4
Tb927.8.460	Tb927_08_v5.1	125412	126989	+	1578	0
Tb927.8.470	Tb927_08_v5.1	129542	135147	+	5606	108
Tb927.8.480	Tb927_08_v5.1	135693	137806	-	2114	534
Tb927.8.490	Tb927_08_v5.1	138767	139630	-	864	127
Tb927.8.500	Tb927_08_v5.1	139718	140745	-	1028	46
Tb927.8.510	Tb927_08_v5.1	141813	142640	-	828	45
Tb927.8.520	Tb927_08_v5.1	142728	148012	-	5285	239
Tb927.8.530	Tb927_08_v5.1	148507	151486	-	2980	2704
Tb927.8.540	Tb927_08_v5.1	149978	159001	-	9024	9662
Tb927.8.550	Tb927_08_v5.1	159308	160440	-	1133	3060
Tb927.8.560	Tb927_08_v5.1	160542	162621	-	2080	2722
Tb927.8.570	Tb927_08_v5.1	162763	164349	-	1587	4260
Tb927.8.580	Tb927_08_v5.1	164471	165702	-	1232	1434
Tb927.8.590	Tb927_08_v5.1	165814	169182	-	3369	4508
Tb927.8.595	Tb927_08_v5.1	169313	169788	-	476	1133
Tb927.8.600	Tb927_08_v5.1	169873	171080	-	1208	1474
Tb8.NT.8	Tb927_08_v5.1	171178	171709	-	532	580
Tb927.8.610	Tb927_08_v5.1	171816	175081	-	3266	3833
Tb927.8.620	Tb927_08_v5.1	175193	176691	-	1499	2442
Tb927.8.630	Tb927_08_v5.1	176838	178436	-	1599	1307
Tb927.8.640	Tb927_08_v5.1	178808	179191	-	384	678
Tb927.8.650	Tb927_08_v5.1	179692	183769	-	4078	10099
Tb927.8.660	Tb927_08_v5.1	184411	185403	-	993	765
Tb927.8.670	Tb927_08_v5.1	186156	188368	-	2213	1819
Tb927.8.680	Tb927_08_v5.1	188501	189112	-	612	585
Tb8.NT.9	Tb927_08_v5.1	189238	189777	-	540	239
Tb927.8.690	Tb927_08_v5.1	190302	190773	-	472	1419
Tb927.8.700	Tb927_08_v5.1	191287	195097	-	3811	4049
Tb927.8.710	Tb927_08_v5.1	195245	200617	-	5373	7521
Tb8.NT.11	Tb927_08_v5.1	200670	202899	-	2230	2544
Tb927.8.720	Tb927_08_v5.1	203019	203947	-	929	1315
Tb927.8.730	Tb927_08_v5.1	204064	205432	-	1369	6304
Tb927.8.740	Tb927_08_v5.1	205974	206494	-	521	639
Tb927.8.750	Tb927_08_v5.1	207159	208284	-	1126	2946
Tb927.8.760	Tb927_08_v5.1	208445	209932	-	1488	6892
Tb927.8.770	Tb927_08_v5.1	210067	213373	-	3307	4033
Tb927.8.780	Tb927_08_v5.1	213736	216939	-	3204	4364
Tb927.8.790	Tb927_08_v5.1	216976	221800	-	4825	5451
Tb927.8.800	Tb927_08_v5.1	223044	231003	-	7960	7642
Tb927.8.810	Tb927_08_v5.1	230939	233135	-	2197	3838
Tb927.8.820	Tb927_08_v5.1	233284	235613	-	2330	3635
Tb927.8.830	Tb927_08_v5.1	235597	241874	-	6278	7117
Tb927.8.840	Tb927_08_v5.1	242091	246359	-	4269	4536
Tb927.8.850	Tb927_08_v5.1	247305	249646	-	2342	2269
Tb927.8.860	Tb927_08_v5.1	249764	252350	-	2587	1667
Tb927.8.870	Tb927_08_v5.1	252259	259664	-	7406	4813
Tb927.8.880	Tb927_08_v5.1	259038	263937	-	4900	3348
Tb927.8.890	Tb927_08_v5.1	264765	267007	-	2243	16031
Tb8.NT.13	Tb927_08_v5.1	267137	267403	-	267	84
Tb927.8.900	Tb927_08_v5.1	267542	271571	-	4030	9998
Tb927.8.910	Tb927_08_v5.1	272330	285554	-	13225	1136
Tb927.8.920	Tb927_08_v5.1	285749	286384	-	636	857
Tb927.8.930	Tb927_08_v5.1	287095	288555	-	1461	3425
Tb927.8.940	Tb927_08_v5.1	288675	296405	-	7731	5090
Tb927.8.950	Tb927_08_v5.1	297160	298982	-	1823	4407
Tb927.8.960	Tb927_08_v5.1	299102	306832	-	7731	5031
Tb927.8.970	Tb927_08_v5.1	306968	309377	-	2410	2841
Tb927.8.980	Tb927_08_v5.1	309497	313499	-	4003	6556
Tb927.8.990	Tb927_08_v5.1	316912	318340	-	1429	3888
Tb927.8.1000	Tb927_08_v5.1	318450	320266	-	1817	2280
Tb927.8.1010	Tb927_08_v5.1	320505	322488	-	1984	2348
Tb927.8.1020	Tb927_08_v5.1	322613	326228	-	3616	4599
Tb927.8.1030	Tb927_08_v5.1	326355	327866	-	1512	2090
Tb927.8.1040	Tb927_08_v5.1	328540	329257	-	718	1268
Tb927.8.1050	Tb927_08_v5.1	329013	338871	-	9859	5587
Tb927.8.1060	Tb927_08_v5.1	339001	342165	-	3165	3846
Tb927.8.1070	Tb927_08_v5.1	342260	345192	-	2933	2954
Tb927.8.1080	Tb927_08_v5.1	345294	346578	-	1285	1752
Tb927.8.1090	Tb927_08_v5.1	347671	350166	-	2496	3346
Tb927.8.1100	Tb927_08_v5.1	350373	355159	-	4787	8416
Tb927.8.1110	Tb927_08_v5.1	355300	356303	-	1004	10292
Tb927.8.1120	Tb927_08_v5.1	357038	357590	-	553	1667
Tb927.8.1130	Tb927_08_v5.1	357788	364726	-	6939	8467
Tb927.8.1140	Tb927_08_v5.1	364870	366299	-	1430	2518
Tb927.8.1150	Tb927_08_v5.1	366439	368626	-	2188	3352
Tb927.8.1160	Tb927_08_v5.1	369465	372912	-	3448	5768
Tb927.8.1170	Tb927_08_v5.1	373426	374487	-	1062	1581
Tb927.8.1180	Tb927_08_v5.1	375186	379041	-	3856	4215
Tb927.8.1190	Tb927_08_v5.1	379555	380614	-	1060	1315
Tb927.8.1200	Tb927_08_v5.1	381320	385491	-	4172	5363
Tb927.8.1210	Tb927_08_v5.1	385805	388023	-	2219	7943
Tb927.8.1220	Tb927_08_v5.1	388195	389215	-	1021	2212
Tb927.8.1230	Tb927_08_v5.1	389413	390459	-	1047	1976
Tb927.8.1240	Tb927_08_v5.1	390667	393466	-	2800	2637
Tb927.8.1250	Tb927_08_v5.1	394308	396916	-	2609	5379
Tb927.8.1260	Tb927_08_v5.1	397029	400520	-	3492	1948
Tb927.8.1270	Tb927_08_v5.1	401510	403005	-	1496	1468
Tb927.8.1280	Tb927_08_v5.1	403359	409909	-	6551	4642
Tb927.8.1290	Tb927_08_v5.1	410088	417663	-	7576	2211
Tb8.NT.18	Tb927_08_v5.1	417773	418533	-	761	424
Tb927.8.1300	Tb927_08_v5.1	419694	422815	-	3122	3141
Tb927.8.1305	Tb927_08_v5.1	423631	423747	-	117	391
Tb927.8.1310	Tb927_08_v5.1	423870	425679	-	1810	2893
Tb927.8.1320	Tb927_08_v5.1	425782	428007	-	2226	3284
Tb927.8.1330	Tb927_08_v5.1	428131	429091	-	961	9952
Tb927.8.1340	Tb927_08_v5.1	429236	430167	-	932	10311
Tb927.8.1350	Tb927_08_v5.1	430515	431747	-	1233	1440
Tb927.8.1360	Tb927_08_v5.1	432137	444849	-	12713	4270
Tb927.8.1370	Tb927_08_v5.1	444971	445514	-	544	475
Tb927.8.1380	Tb927_08_v5.1	445971	447330	+	1360	1422
Tb927.8.1381	Tb927_08_v5.1	454111	454229	-	119	15
Tb927.8.1382	Tb927_08_v5.1	454846	454964	-	119	21
Tb927.8.1383	Tb927_08_v5.1	455582	455700	-	119	30
Tb927.8.1384	Tb927_08_v5.1	456318	456436	-	119	18
Tb927.8.1385	Tb927_08_v5.1	457054	457172	-	119	21
Tb927.8.1386	Tb927_08_v5.1	457790	457908	-	119	8
Tb927.8.1387	Tb927_08_v5.1	458526	458644	-	119	14
Tb927.8.1388	Tb927_08_v5.1	459261	459379	-	119	9
Tb927.8.1389	Tb927_08_v5.1	460411	460441	-	31	3
Tb927.8.1390	Tb927_08_v5.1	460827	461729	+	903	479
Tb927.8.1400	Tb927_08_v5.1	462702	463460	+	759	295
Tb927.8.1410	Tb927_08_v5.1	464007	466752	+	2746	1867
Tb927.8.1420	Tb927_08_v5.1	466574	468329	+	1756	2813
Tb927.8.1430	Tb927_08_v5.1	468547	469069	+	523	636
Tb927.8.1440	Tb927_08_v5.1	469240	470168	+	929	903
Tb927.8.1450	Tb927_08_v5.1	470342	471897	+	1556	2249
Tb927.8.1460	Tb927_08_v5.1	472418	474552	+	2135	3261
Tb927.8.1470	Tb927_08_v5.1	475840	477798	+	1959	2478
Tb927.8.1480	Tb927_08_v5.1	478006	485829	+	7824	6601
Tb927.8.1490	Tb927_08_v5.1	485964	486506	+	543	995
Tb927.8.1500	Tb927_08_v5.1	487214	490779	+	3566	8822
Tb927.8.1510	Tb927_08_v5.1	490250	494620	+	4371	7563
Tb927.8.1520	Tb927_08_v5.1	494959	496260	+	1302	2092
Tb927.8.1530	Tb927_08_v5.1	496560	499061	+	2502	2900
Tb927.8.1540	Tb927_08_v5.1	499185	501987	+	2803	3971
Tb927.8.1550	Tb927_08_v5.1	502944	505552	+	2609	6035
Tb927.8.1560	Tb927_08_v5.1	507863	510107	+	2245	3053
Tb927.8.1570	Tb927_08_v5.1	510700	512565	+	1866	3232
Tb927.8.1580	Tb927_08_v5.1	513888	515874	+	1987	2495
Tb927.8.1590	Tb927_08_v5.1	516038	530691	+	14654	9568
Tb927.8.1600	Tb927_08_v5.1;Tb927_08_v5.1	530856;531301	533364;533364	+;+	2509	6240
Tb927_08_v4.snoRNA.0025	Tb927_08_v5.1	533529	533606	+	78	421
Tb927_08_v4.snoRNA.0016	Tb927_08_v5.1	533634	533716	+	83	478
Tb927_08_v4.snoRNA.0006	Tb927_08_v5.1	533809	533882	+	74	524
Tb927_08_v4.snoRNA.0001	Tb927_08_v5.1	533918	534035	+	118	556
Tb927_08_v4.snoRNA.0026	Tb927_08_v5.1	534178	534255	+	78	498
Tb927_08_v4.snoRNA.0017	Tb927_08_v5.1	534283	534365	+	83	550
Tb927_08_v4.snoRNA.0007	Tb927_08_v5.1	534458	534531	+	74	469
Tb927_08_v4.snoRNA.0002	Tb927_08_v5.1	534567	534684	+	118	345
Tb927_08_v4.snoRNA.0027	Tb927_08_v5.1	534827	534904	+	78	474
Tb927_08_v4.snoRNA.0018	Tb927_08_v5.1	534932	535014	+	83	568
Tb927_08_v4.snoRNA.0008	Tb927_08_v5.1	535107	535180	+	74	543
Tb927_08_v4.snoRNA.0003	Tb927_08_v5.1	535216	535333	+	118	593
Tb927_08_v4.snoRNA.0028	Tb927_08_v5.1	535476	535553	+	78	494
Tb927_08_v4.snoRNA.0019	Tb927_08_v5.1	535581	535663	+	83	525
Tb927_08_v4.snoRNA.0009	Tb927_08_v5.1	535756	535829	+	74	491
Tb927_08_v4.snoRNA.0004	Tb927_08_v5.1	535865	535982	+	118	385
Tb927_08_v4.snoRNA.0029	Tb927_08_v5.1	536125	536202	+	78	442
Tb927_08_v4.snoRNA.0020	Tb927_08_v5.1	536230	536312	+	83	530
Tb927_08_v4.snoRNA.0010	Tb927_08_v5.1	536405	536478	+	74	458
Tb927_08_v4.snoRNA.0005	Tb927_08_v5.1	536514	536631	+	118	407
Tb927_08_v4.snoRNA.0030	Tb927_08_v5.1	536774	536851	+	78	246
Tb927_08_v4.snoRNA.0021	Tb927_08_v5.1	536879	536961	+	83	178
Tb927.8.1610	Tb927_08_v5.1	537132	538806	+	1675	2305
Tb927.8.1620	Tb927_08_v5.1	539325	541194	+	1870	2290
Tb927.8.1630	Tb927_08_v5.1	541518	543592	+	2075	2432
Tb927.8.1640	Tb927_08_v5.1	543711	546361	+	2651	2587
Tb927.8.1650	Tb927_08_v5.1	545906	548434	+	2529	1707
Tb927_08_v4.snoRNA.0011	Tb927_08_v5.1	549674	549769	+	96	120
Tb927_08_v4.snoRNA.0012	Tb927_08_v5.1	549815	549881	+	67	49
Tb927_08_v4.snoRNA.0031	Tb927_08_v5.1	549933	550026	+	94	53
Tb927_08_v4.snoRNA.0015	Tb927_08_v5.1	550193	550259	+	67	18
Tb927_08_v4.snoRNA.0033	Tb927_08_v5.1	550311	550404	+	94	14
Tb927_08_v4.snoRNA.0013	Tb927_08_v5.1	550571	550637	+	67	106
Tb927_08_v4.snoRNA.0032	Tb927_08_v5.1	550689	550782	+	94	104
Tb927_08_v4.snoRNA.0014	Tb927_08_v5.1	550949	551015	+	67	7
Tb927.8.1660	Tb927_08_v5.1	552495	552753	+	259	19
Tb927.8.1665	Tb927_08_v5.1	555012	557581	-	2570	1199
Tb927.8.1670	Tb927_08_v5.1	558245	560376	-	2132	3297
Tb927.8.1680	Tb927_08_v5.1	560516	561559	-	1044	2420
Tb927.8.1690	Tb927_08_v5.1	561674	564289	-	2616	2729
Tb927.8.1700	Tb927_08_v5.1;Tb927_08_v5.1	564780;564780	566839;567149	-;-	2370	3717
Tb927.8.1710	Tb927_08_v5.1	567268	569337	-	2070	2896
Tb927.8.1720	Tb927_08_v5.1	569436	572297	-	2862	3184
Tb927.8.1730	Tb927_08_v5.1	572606	573019	-	414	800
Tb927.8.1740	Tb927_08_v5.1	573200	575944	-	2745	3841
Tb927.8.1750	Tb927_08_v5.1	576397	577010	-	614	2764
Tb927.8.1760	Tb927_08_v5.1	576941	577904	-	964	1742
Tb927.8.1770	Tb927_08_v5.1	577615	581715	-	4101	5886
Tb927.8.1780	Tb927_08_v5.1	581859	587851	-	5993	6136
Tb927.8.1790	Tb927_08_v5.1	588516	589644	-	1129	2996
Tb927.8.1800	Tb927_08_v5.1	589559	591527	-	1969	2323
Tb927.8.1810	Tb927_08_v5.1	591914	592911	-	998	1773
Tb927.8.1820	Tb927_08_v5.1	593024	594551	-	1528	1629
Tb927.8.1830	Tb927_08_v5.1	594809	596615	-	1807	2104
Tb927.8.1840	Tb927_08_v5.1	596740	603777	-	7038	9212
Tb927.8.1850	Tb927_08_v5.1	603912	605492	-	1581	2928
Tb927.8.1860	Tb927_08_v5.1	605805	608991	-	3187	4762
Tb927.8.1870	Tb927_08_v5.1	610427	612542	-	2116	18376
Tb927.8.1880	Tb927_08_v5.1	612682	613543	-	862	2132
Tb927.8.1890	Tb927_08_v5.1	613650	615425	-	1776	5039
Tb927.8.1900	Tb927_08_v5.1	615577	617486	-	1910	1451
Tb927.8.1910	Tb927_08_v5.1	617619	619799	-	2181	2608
Tb927.8.1920	Tb927_08_v5.1	619932	620945	-	1014	596
Tb927.8.1930	Tb927_08_v5.1	621083	621943	-	861	850
Tb927.8.1940	Tb927_08_v5.1	622032	624115	-	2084	4495
Tb927.8.1945	Tb927_08_v5.1	626529	626988	+	460	850
Tb927.8.1950	Tb927_08_v5.1	627247	629565	+	2319	4486
Tb927.8.1960	Tb927_08_v5.1	629729	631101	+	1373	2177
Tb927.8.1970	Tb927_08_v5.1	631237	632303	+	1067	1161
Tb927.8.1980	Tb927_08_v5.1	632474	634163	+	1690	3725
Tb927.8.1990	Tb927_08_v5.1	634099	635163	+	1065	9907
Tb927.8.2000	Tb927_08_v5.1	635321	636120	+	800	1942
Tb927.8.2010	Tb927_08_v5.1	636394	637062	+	669	1108
Tb927.8.2020	Tb927_08_v5.1	637229	638533	+	1305	2228
Tb927.8.2030	Tb927_08_v5.1	638651	640119	+	1469	6017
Tb927.8.2040	Tb927_08_v5.1	640593	642333	+	1741	2409
Tb927.8.2050	Tb927_08_v5.1	642480	643754	+	1275	3708
Tb927.8.2060	Tb927_08_v5.1	644161	653337	+	9177	7271
Tb927_08_v4.snoRNA.0022	Tb927_08_v5.1	653501	653583	+	83	544
Tb927_08_v4.snoRNA.0035	Tb927_08_v5.1	653618	653704	+	87	572
Tb927_08_v4.snoRNA.0037	Tb927_08_v5.1	653762	653843	+	82	396
Tb927_08_v4.snoRNA.0040	Tb927_08_v5.1	654055	654119	+	65	227
Tb927.8.2070	Tb927_08_v5.1	654313	654964	+	652	2773
Tb927_08_v4.snoRNA.0041	Tb927_08_v5.1	655717	655781	+	65	142
Tb927.8.2080	Tb927_08_v5.1	655975	656584	+	610	1820
Tb927_08_v4.snoRNA.0023	Tb927_08_v5.1	657195	657277	+	83	314
Tb927_08_v4.snoRNA.0036	Tb927_08_v5.1	657312	657398	+	87	318
Tb927_08_v4.snoRNA.0038	Tb927_08_v5.1	657456	657537	+	82	208
Tb927.8.2090	Tb927_08_v5.1	657734	658456	+	723	1043
Tb927.8.2100	Tb927_08_v5.1	658648	659149	+	502	2082
Tb927.8.2110	Tb927_08_v5.1	659735	661241	+	1507	2530
Tb927.8.2120	Tb927_08_v5.1	661416	662811	+	1396	2321
Tb927.8.2130	Tb927_08_v5.1	662944	664613	+	1670	1372
Tb927.8.2140	Tb927_08_v5.1	665104	665812	+	709	979
Tb927.8.2150	Tb927_08_v5.1	666282	667505	+	1224	2473
Tb927.8.2160	Tb927_08_v5.1	667647	673216	+	5570	6477
Tb927.8.2170	Tb927_08_v5.1	673583	673919	+	337	701
Tb927.8.2180	Tb927_08_v5.1	674219	674976	+	758	1024
Tb927.8.2185	Tb927_08_v5.1	675099	675515	+	417	801
Tb927.8.2190	Tb927_08_v5.1	675639	676274	+	636	969
Tb927.8.2200	Tb927_08_v5.1	676377	677388	+	1012	3753
Tb927.8.2210	Tb927_08_v5.1	677827	678743	+	917	2105
Tb927.8.2220	Tb927_08_v5.1	679691	684449	+	4759	4489
Tb927.8.2230	Tb927_08_v5.1	684910	685950	+	1041	1052
Tb927.8.2240	Tb927_08_v5.1	686457	687904	+	1448	1644
Tb927.8.2250	Tb927_08_v5.1	688087	690689	+	2603	3228
Tb927_08_v4.snoRNA.0024	Tb927_08_v5.1	691295	691377	+	83	326
Tb927_08_v4.snoRNA.0034	Tb927_08_v5.1	691412	691498	+	87	178
Tb927_08_v4.snoRNA.0039	Tb927_08_v5.1	691556	691637	+	82	275
Tb927_08_v4.snoRNA.0042	Tb927_08_v5.1	691849	691913	+	65	239
Tb927.8.2260	Tb927_08_v5.1	692107	693116	+	1010	2244
Tb927_08_v4.snoRNA.0043	Tb927_08_v5.1	693512	693576	+	65	653
Tb927.8.2270	Tb927_08_v5.1	693770	694421	+	652	160
Tb927_08_v4.snoRNA.0044	Tb927_08_v5.1	695175	695239	+	65	783
Tb927.8.2280	Tb927_08_v5.1	695433	696930	+	1498	4073
Tb927.8.2290	Tb927_08_v5.1	696623	697976	+	1354	1395
Tb927.8.2300	Tb927_08_v5.1	698120	699347	+	1228	1303
Tb927.8.2310	Tb927_08_v5.1	699459	699962	+	504	2115
Tb927.8.2320	Tb927_08_v5.1	700426	701455	+	1030	1548
Tb927.8.2330	Tb927_08_v5.1	701043	703234	+	2192	2591
Tb927.8.2340	Tb927_08_v5.1	703241	703794	+	554	840
Tb927.8.2350	Tb927_08_v5.1	704416	705801	+	1386	2484
Tb927.8.2360	Tb927_08_v5.1	705895	706679	+	785	1818
Tb927.8.2370	Tb927_08_v5.1	706786	711807	+	5022	4541
Tb927.8.2380	Tb927_08_v5.1	712995	717111	+	4117	6568
Tb927.8.2390	Tb927_08_v5.1	717467	722349	+	4883	4931
Tb927.8.2395	Tb927_08_v5.1	722512	723148	+	637	594
Tb927.8.2400	Tb927_08_v5.1	723279	724400	+	1122	1106
Tb927.8.2410	Tb927_08_v5.1	724694	725801	+	1108	1736
Tb927.8.2420	Tb927_08_v5.1	725932	727403	+	1472	2275
Tb927.8.2430	Tb927_08_v5.1	727512	731503	+	3992	5720
Tb927.8.2440	Tb927_08_v5.1	731962	732913	+	952	1636
Tb927.8.2450	Tb927_08_v5.1	733142	734793	+	1652	2716
Tb927.8.2460	Tb927_08_v5.1	734906	735789	+	884	1745
Tb927.8.2470	Tb927_08_v5.1	736651	737076	+	426	491
Tb927.8.2480	Tb927_08_v5.1	737509	739280	+	1772	2703
Tb8.NT.41	Tb927_08_v5.1	739390	739601	+	212	73
Tb927.8.2490	Tb927_08_v5.1	739706	740872	+	1167	1474
Tb927.8.2500	Tb927_08_v5.1	741004	741895	+	892	1335
Tb927.8.2510	Tb927_08_v5.1	742173	743072	+	900	1252
Tb927.8.2520	Tb927_08_v5.1	743167	748045	+	4879	9668
Tb927.8.2530	Tb927_08_v5.1	747466	748791	+	1326	3332
Tb927.8.2540	Tb927_08_v5.1	749345	751477	+	2133	6705
Tb927.8.2550	Tb927_08_v5.1	751641	755569	+	3929	5591
Tb927.8.2560	Tb927_08_v5.1	755488	756437	+	950	1556
Tb927.8.2570	Tb927_08_v5.1	756297	758354	+	2058	4151
Tb927.8.2580	Tb927_08_v5.1	758535	761843	+	3309	4817
Tb927.8.2590	Tb927_08_v5.1	762392	764086	+	1695	2618
Tb927.8.2600	Tb927_08_v5.1	764939	766887	+	1949	2428
Tb8.NT.42	Tb927_08_v5.1	767297	767521	+	225	113
Tb927.8.2610	Tb927_08_v5.1	767620	770026	+	2407	1711
Tb927.8.2620	Tb927_08_v5.1	770837	773457	+	2621	4010
Tb927.8.2630	Tb927_08_v5.1	774188	776651	+	2464	3117
Tb927.8.2640	Tb927_08_v5.1	778840	782385	+	3546	8623
Tb927.8.2650	Tb927_08_v5.1	783443	784773	+	1331	1984
Tb927.8.2660	Tb927_08_v5.1	784906	791740	+	6835	5629
Tb927.8.2663	Tb927_08_v5.1	793455	793527	+	73	2
Tb927.8.2666	Tb927_08_v5.1	793613	793684	-	72	4
Tb927.8.2670	Tb927_08_v5.1	794576	795942	+	1367	1520
Tb927.8.2680	Tb927_08_v5.1;Tb927_08_v5.1	796080;796200	798142;798142	+;+	2063	2892
Tb927.8.2690	Tb927_08_v5.1	798312	803188	+	4877	4041
Tb927.8.2700	Tb927_08_v5.1	803368	804088	+	721	1528
Tb927.8.2710	Tb927_08_v5.1	804341	806699	+	2359	1770
Tb927.8.2720	Tb927_08_v5.1	806855	808193	+	1339	2637
Tb927.8.2730	Tb927_08_v5.1	808337	810316	+	1980	3592
Tb927.8.2740	Tb927_08_v5.1	810416	811569	+	1154	2484
Tb927.8.2750	Tb927_08_v5.1	813362	815396	+	2035	3327
Tb927.8.2760	Tb927_08_v5.1	815506	817052	+	1547	2223
Tb927.8.2770	Tb927_08_v5.1	817161	828121	+	10961	9448
Tb927.8.2780	Tb927_08_v5.1	828306	830608	+	2303	597
Tb927.8.2790	Tb927_08_v5.1	837609	837978	+	370	549
Tb927.8.2800	Tb927_08_v5.1	838351	839679	+	1329	2729
Tb927.8.2810	Tb927_08_v5.1	839858	842576	+	2719	4102
Tb927.8.2820	Tb927_08_v5.1	842710	847057	+	4348	9223
Tb927.8.2830	Tb927_08_v5.1	847223	850113	+	2891	5517
Tb927.8.2840	Tb927_08_v5.1	850222	851750	+	1529	2136
Tb927.8.2850	Tb927_08_v5.1	851926	853813	+	1888	1339
Tb927.8.2851	Tb927_08_v5.1	854289	854362	-	74	31
Tb927.8.2852	Tb927_08_v5.1	854457	854528	+	72	6
Tb927.8.2853	Tb927_08_v5.1	854585	854657	+	73	12
Tb927.8.2854	Tb927_08_v5.1	854728	854800	+	73	17
Tb927.8.2855	Tb927_08_v5.1	857771	857845	-	75	4
Tb927.8.2856	Tb927_08_v5.1	858106	858177	+	72	2
Tb927.8.2857	Tb927_08_v5.1	858265	858346	+	82	6
Tb927.8.2858	Tb927_08_v5.1	858430	858501	-	72	4
Tb927.8.2859	Tb927_08_v5.1	858599	858670	+	72	9
Tb927.8.2861	Tb927_08_v5.1	860996	861256	-	261	83
Tb927.8.2862	Tb927_08_v5.1	861366	861438	+	73	0
Tb927.8.2863	Tb927_08_v5.1	861528	861599	-	72	2
Tb927.8.2864	Tb927_08_v5.1	861696	861839	+	144	39
Tb927.8.2860	Tb927_08_v5.1	865406	868405	-	3000	5446
