# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "12" "-t" "transcript" "-g" "gene_id" "-a" "tb927_3_ks_st_sc_st_tr.gtf" "-o" "DE927/tb927_3_ks_counts_final.txt" "B_tot_1/res2/B_tot_1/B_tot_1_sorted.bam" "B_tot_2/res2/B_tot_2/B_tot_2_sorted.bam" "B_tot_3/res2/B_tot_3/B_tot_3_sorted.bam" "B_pol_1/res2/B_pol_1/B_pol_1_sorted.bam" "B_pol_2/res2/B_pol_2/B_pol_2_sorted.bam" "B_pol_3/res2/B_pol_3/B_pol_3_sorted.bam" "B_sub_1/res2/B_sub_1/B_sub_1_sorted.bam" "B_sub_2/res2/B_sub_2/B_sub_2_sorted.bam" "B_sub_3/res2/B_sub_3/B_sub_3_sorted.bam" "P_tot_1/res2/P_tot_1/P_tot_1_sorted.bam" "P_tot_2/res2/P_tot_2/P_tot_2_sorted.bam" "P_tot_3/res2/P_tot_3/P_tot_3_sorted.bam" "P_pol_1/res2/P_pol_1/P_pol_1_sorted.bam" "P_pol_2/res2/P_pol_2/P_pol_2_sorted.bam" "P_pol_3/res2/P_pol_3/P_pol_3_sorted.bam" "P_sub_1/res2/P_sub_1/P_sub_1_sorted.bam" "P_sub_2/res2/P_sub_2/P_sub_2_sorted.bam" "P_sub_3/res2/P_sub_3/P_sub_3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	B_tot_1/res2/B_tot_1/B_tot_1_sorted.bam	B_tot_2/res2/B_tot_2/B_tot_2_sorted.bam	B_tot_3/res2/B_tot_3/B_tot_3_sorted.bam	B_pol_1/res2/B_pol_1/B_pol_1_sorted.bam	B_pol_2/res2/B_pol_2/B_pol_2_sorted.bam	B_pol_3/res2/B_pol_3/B_pol_3_sorted.bam	B_sub_1/res2/B_sub_1/B_sub_1_sorted.bam	B_sub_2/res2/B_sub_2/B_sub_2_sorted.bam	B_sub_3/res2/B_sub_3/B_sub_3_sorted.bam	P_tot_1/res2/P_tot_1/P_tot_1_sorted.bam	P_tot_2/res2/P_tot_2/P_tot_2_sorted.bam	P_tot_3/res2/P_tot_3/P_tot_3_sorted.bam	P_pol_1/res2/P_pol_1/P_pol_1_sorted.bam	P_pol_2/res2/P_pol_2/P_pol_2_sorted.bam	P_pol_3/res2/P_pol_3/P_pol_3_sorted.bam	P_sub_1/res2/P_sub_1/P_sub_1_sorted.bam	P_sub_2/res2/P_sub_2/P_sub_2_sorted.bam	P_sub_3/res2/P_sub_3/P_sub_3_sorted.bam
Tb927.8.250	Tb927_08_v5.1	43850	45373	+	1524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.260	Tb927_08_v5.1	46530	48055	+	1526	0	2	3	1	1	0	0	4	2	0	0	0	0	0	0	0	0	0
Tb927.8.270	Tb927_08_v5.1	51024	64023	+	13000	1131	954	868	665	625	592	654	675	700	717	494	396	267	249	306	576	639	720
Tb927.8.280	Tb927_08_v5.1	65838	67268	+	1431	0	1	0	1	0	2	1	2	6	0	0	0	0	0	0	0	0	0
Tb927.8.290	Tb927_08_v5.1	69197	70716	+	1520	1	3	0	2	2	0	2	4	6	1	0	2	0	1	0	0	0	4
Tb927.8.300	Tb927_08_v5.1	72810	74841	+	2032	0	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1
Tb927.8.310	Tb927_08_v5.1	75869	77280	+	1412	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Tb927.8.320	Tb927_08_v5.1	80097	86013	+	5917	11	12	16	11	14	12	34	48	33	19	22	7	18	20	10	33	65	41
Tb927.8.330	Tb927_08_v5.1	87463	88974	+	1512	0	2	0	0	0	2	1	0	0	2	0	1	0	0	0	1	0	0
Tb927.8.340	Tb927_08_v5.1	90887	93874	+	2988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.350	Tb927_08_v5.1	94593	98427	+	3835	1	0	0	0	1	1	0	0	1	2	0	2	0	1	3	1	0	0
Tb927.8.360	Tb927_08_v5.1	98581	100054	+	1474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.370	Tb927_08_v5.1	101170	102323	+	1154	9	4	3	7	4	9	19	8	12	2	0	1	0	0	1	0	0	1
Tb927.8.380	Tb927_08_v5.1	102499	104385	+	1887	4	2	2	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0
Tb927.8.390	Tb927_08_v5.1	105019	106006	+	988	4	7	3	2	1	2	13	1	4	0	0	0	0	0	0	0	0	2
Tb927.8.400	Tb927_08_v5.1	106153	107750	+	1598	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0
Tb927.8.410	Tb927_08_v5.1	108919	110449	+	1531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.420	Tb927_08_v5.1	112157	113708	+	1552	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Tb927.8.430	Tb927_08_v5.1	115234	116694	+	1461	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.440	Tb927_08_v5.1	118408	119911	+	1504	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Tb927.8.443	Tb927_08_v5.1	122247	122382	-	136	190	115	137	6	2	6	47	16	49	114	141	110	4	2	2	44	36	50
Tb927.8.446	Tb927_08_v5.1	122700	122777	-	78	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Tb927.8.449	Tb927_08_v5.1	123108	123290	-	183	12	12	2	2	1	2	6	2	1	7	3	3	6	1	1	5	1	2
Tb927.8.450	Tb927_08_v5.1	124234	125246	+	1013	6	6	3	8	3	3	7	8	8	1	0	0	0	0	1	0	0	0
Tb927.8.460	Tb927_08_v5.1	125412	126989	+	1578	0	1	0	0	1	4	4	3	3	0	0	0	0	0	0	0	0	3
Tb927.8.470	Tb927_08_v5.1	129542	135147	+	5606	85	111	89	43	51	37	66	78	68	56	68	40	18	16	20	70	77	116
Tb927.8.480	Tb927_08_v5.1	135693	137806	-	2114	292	534	455	218	411	285	564	629	461	621	464	387	459	586	546	1586	1819	1485
Tb927.8.490	Tb927_08_v5.1	138767	139630	-	864	107	127	156	76	99	103	242	273	371	75	52	49	37	38	49	99	127	175
Tb927.8.500	Tb927_08_v5.1	139718	140745	-	1028	26	46	49	14	19	16	238	279	364	29	18	12	5	4	4	56	90	111
Tb927.8.510	Tb927_08_v5.1	141813	142640	-	828	39	45	38	11	26	21	88	111	209	78	58	49	26	32	41	110	141	223
Tb927.8.520	Tb927_08_v5.1	142728	148012	-	5285	184	239	229	144	147	160	973	985	1139	113	64	42	19	22	28	196	271	362
Tb927.8.530	Tb927_08_v5.1	148507	151486	-	2980	2797	2704	2459	2242	2527	2620	6581	5730	5006	2366	2144	1497	1284	1754	1709	3212	4232	3647
Tb927.8.540	Tb927_08_v5.1	149978	159001	-	9024	10982	9662	8936	5605	4732	5346	6828	5953	5894	12358	10718	7945	5706	6483	6425	5111	6614	5459
Tb927.8.550	Tb927_08_v5.1	159308	160440	-	1133	3056	3060	2754	4716	5491	5680	4857	4417	4523	2247	2065	1482	2006	2772	2591	1678	2271	2321
Tb927.8.560	Tb927_08_v5.1	160542	162621	-	2080	2951	2722	2528	2690	2807	3018	2634	2302	2233	3516	3286	2378	2652	3053	2907	2863	3698	3173
Tb927.8.570	Tb927_08_v5.1	162763	164349	-	1587	4652	4260	3988	7985	11194	10521	9363	8097	8746	4195	3665	2738	3759	4966	4458	3027	3949	3605
Tb927.8.580	Tb927_08_v5.1	164471	165702	-	1232	1528	1434	1350	1613	1890	1939	3143	2780	2732	1762	1465	1139	1268	1571	1502	1778	2451	2171
Tb927.8.590	Tb927_08_v5.1	165814	169182	-	3369	4995	4508	4161	3511	3326	3471	3383	3083	2832	4658	4101	2976	2077	2385	2351	3829	4833	3828
Tb927.8.595	Tb927_08_v5.1	169313	169788	-	476	1324	1133	1074	1834	2384	2349	3569	3256	3355	1387	1058	795	1012	1213	1138	1366	1961	1780
Tb927.8.600	Tb927_08_v5.1	169873	171080	-	1208	1815	1474	1509	1911	2216	2046	3173	2643	2606	1554	1183	945	1016	1259	1198	1628	2107	1852
Tb8.NT.8	Tb927_08_v5.1	171178	171709	-	532	589	579	558	271	405	308	3240	3196	2614	878	659	481	150	214	209	1602	2210	1926
Tb927.8.610	Tb927_08_v5.1	171816	175081	-	3266	4369	3833	3528	3264	2916	3145	1927	1618	1835	3928	3412	2412	2585	2992	2835	2017	2404	2045
Tb927.8.620	Tb927_08_v5.1	175193	176691	-	1499	2698	2442	2286	3059	3524	3762	3978	3549	3165	2588	2225	1713	1974	2573	2402	2150	2597	2229
Tb927.8.630	Tb927_08_v5.1	176838	178436	-	1599	1497	1307	1302	1262	1206	1313	1634	1338	1272	2005	1784	1281	1039	1342	1213	2054	2718	2062
Tb927.8.640	Tb927_08_v5.1	178808	179191	-	384	779	678	640	468	580	613	1921	1569	1949	822	720	536	279	389	354	877	1203	1141
Tb927.8.650	Tb927_08_v5.1	179692	183769	-	4078	11630	10100	10103	4737	4514	4434	1517	1436	1383	12334	10536	7439	3242	3706	3709	2142	2592	1988
Tb927.8.660	Tb927_08_v5.1	184411	185403	-	993	854	765	764	821	809	867	689	595	561	847	704	509	440	506	506	870	1018	878
Tb927.8.670	Tb927_08_v5.1	186156	188368	-	2213	1829	1820	1911	1481	1516	1492	1320	1246	877	811	688	557	305	376	401	825	1061	874
Tb927.8.680	Tb927_08_v5.1	188501	189112	-	612	628	585	549	461	597	631	2798	2554	2403	823	660	506	454	616	561	1243	1783	1542
Tb8.NT.9	Tb927_08_v5.1	189238	189777	-	540	252	239	252	119	163	135	1269	1372	1234	528	442	323	78	139	131	802	1224	1090
Tb927.8.690	Tb927_08_v5.1	190302	190773	-	472	1452	1419	1241	2378	2731	2865	3192	2648	2573	1843	1551	1197	1678	2230	1989	1288	1733	1700
Tb927.8.700	Tb927_08_v5.1	191287	195097	-	3811	4264	4049	3864	2354	2239	2292	3759	3444	3962	4274	3743	2813	1954	2340	2323	2653	3328	3238
Tb927.8.710	Tb927_08_v5.1	195245	200617	-	5373	6373	7521	6397	5854	4469	4937	1521	963	728	10793	12335	9334	7145	7502	8216	7066	7454	3506
Tb8.NT.11	Tb927_08_v5.1	200670	202899	-	2230	1982	2544	2137	1604	1068	1107	354	353	207	3540	4051	2862	2183	2078	2290	2189	2258	1013
Tb927.8.720	Tb927_08_v5.1	203019	203947	-	929	1394	1315	1366	1040	1103	1144	4902	4785	3512	2140	1912	1430	934	1203	1153	2961	4362	3723
Tb927.8.730	Tb927_08_v5.1	204064	205432	-	1369	7118	6304	6770	13837	16894	18759	8212	7167	7652	12028	10471	7656	12210	14605	13137	3667	5101	4772
Tb927.8.740	Tb927_08_v5.1	205974	206494	-	521	683	638	635	770	898	894	2291	2190	1722	888	654	612	640	579	580	465	731	836
Tb927.8.750	Tb927_08_v5.1	207159	208284	-	1126	3308	2946	2825	4562	5319	6480	2969	2499	2572	2464	2258	1632	2151	2586	2379	1524	2115	1943
Tb927.8.760	Tb927_08_v5.1	208445	209932	-	1488	7269	6891	7356	12974	16624	18972	5641	4872	7539	20877	20314	14772	19719	21581	20037	4572	6143	7422
Tb927.8.770	Tb927_08_v5.1	210067	213373	-	3307	4552	4033	4074	4095	4261	4858	3857	3214	3717	7478	6076	4470	4868	5915	5701	5273	6359	5478
Tb927.8.780	Tb927_08_v5.1	213736	216939	-	3204	4781	4364	3822	3224	3169	3050	2356	2082	3867	2978	2578	1937	1506	1880	1795	2060	2338	2850
Tb927.8.790	Tb927_08_v5.1	216976	221800	-	4825	5640	5451	4991	4198	3859	3735	1771	1422	1567	5959	5486	4078	3165	3689	3729	3119	3942	3070
Tb927.8.800	Tb927_08_v5.1	223044	231003	-	7960	8227	7642	7236	4751	3737	4019	1121	1005	1472	4916	4726	3219	2330	2693	2673	1528	2009	2008
Tb927.8.810	Tb927_08_v5.1	230939	233135	-	2197	3999	3838	3488	4989	5695	5597	3831	3071	4038	4059	3664	2662	3318	4195	3699	2487	3238	3031
Tb927.8.820	Tb927_08_v5.1	233284	235613	-	2330	3616	3635	3205	4323	4779	4533	2926	2565	2528	2213	1974	1397	1259	1739	1495	2149	2966	2563
Tb927.8.830	Tb927_08_v5.1	235597	241874	-	6278	7975	7117	6619	4975	4309	4644	5824	5687	4427	5898	5058	3797	3324	3557	3576	3300	4076	3370
Tb927.8.840	Tb927_08_v5.1	242091	246359	-	4269	4915	4536	4100	3689	3317	3312	1602	1306	1511	4380	4244	3228	2732	3364	3364	2539	3153	2676
Tb927.8.850	Tb927_08_v5.1	247305	249646	-	2342	2481	2268	2269	1385	1237	1283	1084	878	751	2365	2062	1549	1012	1195	1162	1572	1785	1537
Tb927.8.860	Tb927_08_v5.1	249764	252350	-	2587	1737	1676	1575	1231	1063	1153	1965	1634	1556	2500	2188	1542	1057	1453	1379	1599	1977	1837
Tb927.8.870	Tb927_08_v5.1	252259	259664	-	7406	3839	4813	5213	4271	3901	4292	2155	1772	1391	3153	3588	2384	1962	3213	2976	1727	2731	1962
Tb927.8.880	Tb927_08_v5.1	259038	263937	-	4900	3368	3348	3155	3004	2761	2750	1877	1594	1259	4515	4108	3056	3040	3618	3698	2677	3164	2536
Tb927.8.890	Tb927_08_v5.1	264765	267007	-	2243	15620	16031	14393	27884	29148	31805	8167	7499	8009	12654	11057	7937	11258	13511	12941	3863	4783	4369
Tb8.NT.13	Tb927_08_v5.1	267137	267403	-	267	86	84	74	11	12	19	665	546	1143	152	147	91	31	36	36	243	456	511
Tb927.8.900	Tb927_08_v5.1	267542	271571	-	4030	10068	9997	9279	11098	10637	12007	3696	3336	3438	12766	12609	8754	11244	13013	12442	3055	3634	3079
Tb927.8.910	Tb927_08_v5.1	272330	285554	-	13225	724	1135	1287	902	701	898	354	253	231	580	1043	573	608	1104	1028	122	248	147
Tb927.8.920	Tb927_08_v5.1	285749	286384	-	636	914	857	855	1084	1278	1346	1400	1259	1591	1096	994	664	785	954	850	788	1026	1040
Tb927.8.930	Tb927_08_v5.1	287095	288555	-	1461	3500	3427	2892	2158	2193	2273	4869	4041	3433	1007	965	673	298	375	384	1339	1676	2051
Tb927.8.940	Tb927_08_v5.1	288675	296405	-	7731	5654	5092	5000	1794	1395	1781	1529	1703	3457	6479	5963	4567	1485	1451	1846	1457	1554	2494
Tb927.8.950	Tb927_08_v5.1	297160	298982	-	1823	4519	4406	3790	2750	2807	2726	5637	5066	4339	1482	1324	958	360	513	550	1722	2277	2724
Tb927.8.960	Tb927_08_v5.1	299102	306832	-	7731	5515	5029	4846	1769	1369	1668	1473	1632	3219	6076	5712	4399	1487	1404	1803	1294	1563	2425
Tb927.8.970	Tb927_08_v5.1	306968	309377	-	2410	3086	2840	2641	1906	1989	1945	5002	5016	4084	1411	1181	897	358	542	525	2069	2976	2819
Tb927.8.980	Tb927_08_v5.1	309497	313499	-	4003	6682	6556	5763	6962	7669	7648	6445	5605	5033	8796	8129	5870	5937	7125	7158	3836	5224	4544
Tb927.8.990	Tb927_08_v5.1	316912	318340	-	1429	4866	3888	3992	3153	3412	4072	1595	1810	2993	7820	7429	5795	3753	4015	4364	2927	3314	6491
Tb927.8.1000	Tb927_08_v5.1	318450	320266	-	1817	2429	2280	2266	1709	1471	1683	2258	1924	2155	2147	2025	1550	956	1177	1106	1791	2205	2319
Tb927.8.1010	Tb927_08_v5.1	320505	322488	-	1984	2462	2348	2194	2327	2548	2622	2880	2376	2425	3171	2861	2136	1894	2419	2127	2644	3199	2937
Tb927.8.1020	Tb927_08_v5.1	322613	326228	-	3616	4778	4599	4258	3857	3406	3441	1715	1482	1881	3425	3465	2626	2062	2783	2560	2212	2502	2530
Tb927.8.1030	Tb927_08_v5.1	326355	327866	-	1512	2298	2090	1903	1955	1919	2097	2285	1786	1803	1981	1798	1391	1270	1580	1378	2005	2343	2014
Tb927.8.1040	Tb927_08_v5.1	328540	329257	-	718	1316	1268	1216	1536	1800	1780	2121	1894	1726	1825	1567	1215	1567	2127	1804	1323	1635	1552
Tb927.8.1050	Tb927_08_v5.1	329013	338871	-	9859	5807	5587	5465	3167	2780	3061	1976	1955	2901	8731	7984	5895	4302	5497	5275	2391	3175	2906
Tb927.8.1060	Tb927_08_v5.1	339001	342165	-	3165	4144	3846	3704	2792	2558	2695	2040	1710	1602	3497	2964	2186	1358	1791	1646	2625	3205	2672
Tb927.8.1070	Tb927_08_v5.1	342260	345192	-	2933	3174	2954	2749	1962	1950	1984	1282	1002	974	2957	2710	2106	1532	1875	1666	2189	2656	2066
Tb927.8.1080	Tb927_08_v5.1	345294	346578	-	1285	1950	1752	1571	2228	2380	2506	3904	3165	3192	3513	3173	2352	3651	4516	4267	2402	3234	2691
Tb927.8.1090	Tb927_08_v5.1	347671	350166	-	2496	3628	3346	3311	2804	2707	2872	1432	1196	1047	3610	3438	2490	2483	3143	2947	2086	2321	2006
Tb927.8.1100	Tb927_08_v5.1	350373	355159	-	4787	8863	8416	8197	5568	4857	5171	1974	1609	1746	6908	6187	4661	3727	4205	4049	4416	5691	4295
Tb927.8.1110	Tb927_08_v5.1	355300	356303	-	1004	11823	10292	10150	25485	35203	34069	17005	16443	16697	37077	33394	28307	41467	51001	45878	24684	47999	37252
Tb927.8.1120	Tb927_08_v5.1	357038	357590	-	553	1787	1667	1498	2010	2640	2783	3489	3036	2990	2006	1786	1348	1833	2309	2072	1677	2598	2220
Tb927.8.1130	Tb927_08_v5.1	357788	364726	-	6939	9044	8468	8315	6019	5155	5659	1919	1633	1631	2197	2136	1543	747	882	933	1441	1776	1706
Tb927.8.1140	Tb927_08_v5.1	364870	366299	-	1430	2766	2517	2385	2738	2876	3088	2654	2083	2006	1912	1730	1240	1095	1346	1289	2052	2653	2040
Tb927.8.1150	Tb927_08_v5.1	366439	368626	-	2188	3028	3352	2864	3036	2865	2833	2799	2054	2243	3302	3123	2234	2108	2718	2564	1729	2113	1951
Tb927.8.1160	Tb927_08_v5.1	369465	372912	-	3448	6103	5768	5003	4161	3500	3929	1657	1487	2211	6928	6693	4669	2761	3189	3048	1942	2572	2763
Tb927.8.1170	Tb927_08_v5.1	373426	374487	-	1062	1773	1576	1499	2226	2770	2980	2477	2247	2245	3505	3046	2162	2883	3623	3311	1749	2420	2180
Tb927.8.1180	Tb927_08_v5.1	375186	379041	-	3856	4699	4213	3932	2997	2677	2864	1251	1059	1457	3234	2926	2269	1243	1430	1403	1409	1740	1714
Tb927.8.1190	Tb927_08_v5.1	379555	380614	-	1060	1534	1319	1320	1938	2351	2449	2203	1928	2145	2944	2576	1950	2363	2975	2730	1738	2385	2114
Tb927.8.1200	Tb927_08_v5.1	381320	385491	-	4172	5984	5365	5166	3963	3448	3603	1522	1326	1735	3196	3140	2202	1351	1551	1562	1561	2006	2097
Tb927.8.1210	Tb927_08_v5.1	385805	388023	-	2219	8512	7943	7094	6630	6656	7481	3085	2504	4528	5794	5261	3790	3421	4172	4021	2371	2755	2853
Tb927.8.1220	Tb927_08_v5.1	388195	389215	-	1021	2432	2212	2167	3090	3929	4257	2660	2082	2209	3029	3052	2364	3210	4151	3798	1687	2215	2023
Tb927.8.1230	Tb927_08_v5.1	389413	390459	-	1047	2142	1976	1857	2934	3597	3648	6009	5422	4605	2860	2561	2078	2638	3608	3224	2391	3343	2928
Tb927.8.1240	Tb927_08_v5.1	390667	393466	-	2800	2623	2637	2446	2479	2537	2310	1472	1194	1021	2325	2221	1534	1551	2032	1873	1588	1947	1612
Tb927.8.1250	Tb927_08_v5.1	394308	396916	-	2609	5710	5379	4968	2807	3142	3085	1459	1388	1432	3798	3714	2766	1765	2122	2029	1768	2231	1620
Tb927.8.1260	Tb927_08_v5.1	397029	400520	-	3492	2392	1947	2185	1560	1430	1602	1213	918	1185	3423	3161	2271	2047	2382	2245	2387	3055	2377
Tb927.8.1270	Tb927_08_v5.1	401510	403005	-	1496	1824	1468	1686	1417	1365	1578	1198	965	1388	3709	3406	2584	2983	3652	3440	2045	2505	1987
Tb927.8.1280	Tb927_08_v5.1	403359	409909	-	6551	4235	4642	3916	3111	2664	2621	1110	1013	1295	3307	3234	2280	1464	1736	1749	1587	1916	1588
Tb927.8.1290	Tb927_08_v5.1	410088	417663	-	7576	1597	2212	2111	1454	1373	1504	406	350	618	1239	1574	1146	680	1054	1005	371	641	478
Tb8.NT.18	Tb927_08_v5.1	417773	418533	-	761	394	424	422	321	366	371	2570	2493	2691	632	537	401	315	405	401	1053	1325	1447
Tb927.8.1300	Tb927_08_v5.1	419694	422815	-	3122	3393	3141	3200	2137	1944	2113	1160	892	1058	4011	3747	2911	2334	2831	2684	2241	2800	2197
Tb927.8.1305	Tb927_08_v5.1	423631	423747	-	117	388	391	352	243	259	312	633	585	731	643	513	353	193	253	244	613	776	765
Tb927.8.1310	Tb927_08_v5.1	423870	425679	-	1810	3333	2893	2802	2528	2548	2853	3638	3037	2690	4620	4316	3152	2839	3650	3524	4819	6599	5116
Tb927.8.1320	Tb927_08_v5.1	425782	428007	-	2226	3520	3284	2972	3665	3430	3891	5853	4270	5703	4159	3940	2928	2697	3688	3412	4918	6502	5757
Tb927.8.1330	Tb927_08_v5.1	428131	429091	-	961	11137	9952	9858	27180	40188	40493	20232	22002	18569	33106	32694	26118	40563	53632	46846	17167	33233	25842
Tb927.8.1340	Tb927_08_v5.1	429236	430167	-	932	11624	10311	10193	27267	39642	40843	24145	26063	21706	34966	32296	25791	39974	52226	45452	20209	38911	30346
