# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "CDS" "-f" "-a" "tb927_3_ks_st_sc_st_tr.gtf" "-o" "DE927/tb927_3_ks_counts_cds.txt" "B_tot_1/res2/B_tot_1/B_tot_1_sorted.bam" "B_tot_2/res2/B_tot_2/B_tot_2_sorted.bam" "B_tot_3/res2/B_tot_3/B_tot_3_sorted.bam" "B_pol_1/res2/B_pol_1/B_pol_1_sorted.bam" "B_pol_2/res2/B_pol_2/B_pol_2_sorted.bam" "B_pol_3/res2/B_pol_3/B_pol_3_sorted.bam" "B_sub_1/res2/B_sub_1/B_sub_1_sorted.bam" "B_sub_2/res2/B_sub_2/B_sub_2_sorted.bam" "B_sub_3/res2/B_sub_3/B_sub_3_sorted.bam" "P_tot_1/res2/P_tot_1/P_tot_1_sorted.bam" "P_tot_2/res2/P_tot_2/P_tot_2_sorted.bam" "P_tot_3/res2/P_tot_3/P_tot_3_sorted.bam" "P_pol_1/res2/P_pol_1/P_pol_1_sorted.bam" "P_pol_2/res2/P_pol_2/P_pol_2_sorted.bam" "P_pol_3/res2/P_pol_3/P_pol_3_sorted.bam" "P_sub_1/res2/P_sub_1/P_sub_1_sorted.bam" "P_sub_2/res2/P_sub_2/P_sub_2_sorted.bam" "P_sub_3/res2/P_sub_3/P_sub_3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	B_tot_1/res2/B_tot_1/B_tot_1_sorted.bam	B_tot_2/res2/B_tot_2/B_tot_2_sorted.bam	B_tot_3/res2/B_tot_3/B_tot_3_sorted.bam	B_pol_1/res2/B_pol_1/B_pol_1_sorted.bam	B_pol_2/res2/B_pol_2/B_pol_2_sorted.bam	B_pol_3/res2/B_pol_3/B_pol_3_sorted.bam	B_sub_1/res2/B_sub_1/B_sub_1_sorted.bam	B_sub_2/res2/B_sub_2/B_sub_2_sorted.bam	B_sub_3/res2/B_sub_3/B_sub_3_sorted.bam	P_tot_1/res2/P_tot_1/P_tot_1_sorted.bam	P_tot_2/res2/P_tot_2/P_tot_2_sorted.bam	P_tot_3/res2/P_tot_3/P_tot_3_sorted.bam	P_pol_1/res2/P_pol_1/P_pol_1_sorted.bam	P_pol_2/res2/P_pol_2/P_pol_2_sorted.bam	P_pol_3/res2/P_pol_3/P_pol_3_sorted.bam	P_sub_1/res2/P_sub_1/P_sub_1_sorted.bam	P_sub_2/res2/P_sub_2/P_sub_2_sorted.bam	P_sub_3/res2/P_sub_3/P_sub_3_sorted.bam
Tb927.8.240	Tb927_08_v5.1	41073	42557	+	1485	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Tb927.8.250	Tb927_08_v5.1	43850	45373	+	1524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.260	Tb927_08_v5.1	46608	48053	+	1446	0	2	3	1	1	0	0	4	2	0	0	0	0	0	0	0	0	0
Tb927.8.270	Tb927_08_v5.1	62486	64021	+	1536	5	4	5	2	1	2	6	5	11	1	0	1	0	0	1	2	2	4
Tb927.8.280	Tb927_08_v5.1	65838	67268	+	1431	0	1	0	1	0	2	1	2	6	0	0	0	0	0	0	0	0	0
Tb927.8.290	Tb927_08_v5.1	69197	70714	+	1518	1	3	0	2	2	0	2	4	6	1	0	2	0	1	0	0	0	4
Tb927.8.300	Tb927_08_v5.1	72810	74210	+	1401	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.310	Tb927_08_v5.1	75869	77278	+	1410	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Tb927.8.320	Tb927_08_v5.1	84581	86011	+	1431	1	0	2	1	2	0	0	2	2	0	1	0	0	0	0	0	2	0
Tb927.8.330	Tb927_08_v5.1	87463	88974	+	1512	0	2	0	0	0	2	1	0	0	2	0	1	0	0	0	1	0	0
Tb927.8.340	Tb927_08_v5.1	90925	92415	+	1491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.350	Tb927_08_v5.1	94593	96173	+	1581	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.360	Tb927_08_v5.1	98581	100053	+	1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.370	Tb927_08_v5.1	101223	102323	+	1101	7	4	3	7	4	7	17	6	10	2	0	1	0	0	0	0	0	1
Tb927.8.380	Tb927_08_v5.1	102529	104019	+	1491	3	2	2	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0
Tb927.8.390	Tb927_08_v5.1	105019	106005	+	987	4	7	3	2	1	2	13	1	4	0	0	0	0	0	0	0	0	2
Tb927.8.400	Tb927_08_v5.1	106153	107748	+	1596	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0
Tb927.8.410	Tb927_08_v5.1	108919	110448	+	1530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.420	Tb927_08_v5.1	112157	113707	+	1551	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Tb927.8.430	Tb927_08_v5.1	115234	116694	+	1461	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.440	Tb927_08_v5.1	118408	119910	+	1503	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Tb927.8.450	Tb927_08_v5.1	124234	125244	+	1011	6	6	3	8	3	3	7	8	7	1	0	0	0	0	1	0	0	0
Tb927.8.460	Tb927_08_v5.1	125412	126989	+	1578	0	1	0	0	1	4	4	3	3	0	0	0	0	0	0	0	0	3
Tb927.8.470	Tb927_08_v5.1	132810	134249	+	1440	2	1	2	0	1	0	3	1	0	1	0	1	0	0	2	6	2	5
Tb927.8.480	Tb927_08_v5.1	135693	136691	-	999	194	371	311	110	226	128	101	158	73	42	24	17	10	11	12	121	106	108
Tb927.8.490	Tb927_08_v5.1	138767	139618	-	852	101	114	146	72	98	99	200	223	307	67	48	45	36	37	48	90	115	152
Tb927.8.500	Tb927_08_v5.1	139718	140662	-	945	20	34	40	10	17	12	197	231	300	23	14	7	4	3	3	48	77	89
Tb927.8.510	Tb927_08_v5.1	141813	142628	-	816	32	31	37	7	20	15	68	67	166	73	55	46	25	30	39	102	114	191
Tb927.8.520	Tb927_08_v5.1	142728	143255	-	528	83	99	99	37	49	48	825	850	1029	82	42	24	7	8	9	156	202	284
Tb927.8.530	Tb927_08_v5.1	148507	149241	-	735	286	336	273	217	232	236	499	443	386	41	36	27	11	23	15	50	88	90
Tb927.8.540	Tb927_08_v5.1	151635	158966	-	7332	8677	7527	6949	3706	2571	3098	1050	932	1436	10056	8631	6477	4443	4758	4743	1978	2520	1944
Tb927.8.550	Tb927_08_v5.1	159730	160263	-	534	1933	1861	1758	2785	3439	3420	2719	2533	2554	1389	1281	980	1247	1801	1580	1030	1392	1376
Tb927.8.560	Tb927_08_v5.1	160844	162577	-	1734	2653	2430	2254	2380	2487	2664	2273	2003	1899	3167	2979	2170	2413	2759	2643	2552	3329	2871
Tb927.8.570	Tb927_08_v5.1	163209	164204	-	996	3462	3203	2913	5883	8061	7631	6561	5793	6232	3149	2710	1983	2730	3646	3244	2224	2874	2583
Tb927.8.580	Tb927_08_v5.1	164621	165688	-	1068	1495	1411	1314	1589	1840	1891	3042	2710	2622	1716	1427	1119	1249	1538	1465	1747	2407	2127
Tb927.8.590	Tb927_08_v5.1	166539	168575	-	2037	3431	2918	2826	2222	2059	1995	982	827	779	2972	2670	1995	1348	1512	1535	2131	2550	1973
Tb927.8.595	Tb927_08_v5.1	169489	169734	-	246	1164	990	913	1504	2079	1987	3047	2818	2867	1219	902	679	899	1065	1004	1155	1668	1492
Tb927.8.600	Tb927_08_v5.1	169984	170895	-	912	1612	1317	1386	1730	2013	1872	2882	2375	2334	1365	1088	870	929	1136	1066	1475	1910	1692
Tb927.8.610	Tb927_08_v5.1	172338	174983	-	2646	3802	3303	3043	2744	2508	2634	1550	1353	1513	3420	2961	2125	2227	2569	2391	1711	2033	1750
Tb927.8.620	Tb927_08_v5.1	175388	176569	-	1182	2575	2365	2192	2925	3332	3633	3769	3387	2994	2482	2125	1635	1903	2484	2314	2055	2493	2133
Tb927.8.630	Tb927_08_v5.1	176866	178404	-	1539	1497	1307	1300	1261	1206	1310	1634	1338	1272	2004	1780	1281	1039	1341	1211	2048	2716	2056
Tb927.8.640	Tb927_08_v5.1	178808	179149	-	342	778	678	639	468	579	611	1919	1563	1941	821	719	535	279	389	354	875	1203	1138
Tb927.8.650	Tb927_08_v5.1	179692	183477	-	3786	11122	9726	9776	4578	4357	4323	1479	1393	1348	11785	10171	7203	3115	3549	3571	2061	2523	1926
Tb927.8.660	Tb927_08_v5.1	184411	185391	-	981	853	765	762	817	809	865	689	595	561	847	703	509	440	506	506	870	1018	877
Tb927.8.670	Tb927_08_v5.1	187367	188239	-	873	1102	1080	1124	800	825	826	640	643	438	504	416	351	205	220	268	461	598	500
Tb927.8.680	Tb927_08_v5.1	188554	189063	-	510	611	566	533	448	584	626	2732	2485	2338	815	650	490	451	612	556	1218	1742	1517
Tb927.8.690	Tb927_08_v5.1	190379	190726	-	348	1193	1128	989	1934	2243	2269	2473	2063	2019	1493	1290	1001	1351	1810	1621	1035	1394	1382
Tb927.8.700	Tb927_08_v5.1	191287	194265	-	2979	3479	3186	3139	1959	1761	1820	1186	1251	1620	3609	3208	2462	1843	2185	2187	2016	2449	2325
Tb927.8.710	Tb927_08_v5.1	196484	200617	-	4134	5045	5840	4972	4215	3270	3392	958	660	443	8641	9730	7461	5491	5683	6245	5441	5688	2512
Tb927.8.720	Tb927_08_v5.1	203348	203830	-	483	1152	1085	1123	859	872	921	3955	3868	2792	1758	1568	1168	738	999	908	2394	3547	2997
Tb927.8.730	Tb927_08_v5.1	204635	205396	-	762	4704	3990	4361	8598	10713	11441	4695	4214	4455	7872	6729	5138	7911	9405	8458	2323	3191	2914
Tb927.8.740	Tb927_08_v5.1	206119	206139	-	21	63	74	72	72	62	79	407	388	272	25	30	25	1	5	3	44	99	110
Tb927.8.740	Tb927_08_v5.1	206200	206277	-	78	298	284	275	334	491	439	670	686	548	574	382	387	441	408	387	182	269	293
Tb927.8.750	Tb927_08_v5.1	207159	208259	-	1101	3302	2946	2821	4558	5317	6472	2967	2495	2571	2464	2253	1630	2149	2582	2376	1524	2111	1942
Tb927.8.760	Tb927_08_v5.1	208921	209907	-	987	6330	6031	6484	11473	14653	16833	4596	4062	6350	18180	18076	13229	17460	19054	17557	3711	4997	6267
Tb927.8.770	Tb927_08_v5.1	211318	213237	-	1920	2199	2008	1969	1446	1270	1369	1181	964	997	3133	2654	2119	1956	2379	2279	2306	2766	2320
Tb927.8.780	Tb927_08_v5.1	213736	216813	-	3078	4616	4227	3694	3140	3081	2968	2255	1996	3688	2889	2494	1890	1472	1833	1748	1988	2257	2710
Tb927.8.790	Tb927_08_v5.1	217610	221509	-	3900	5016	4825	4396	3496	3384	3229	1456	1201	1282	5278	4814	3646	2838	3211	3273	2710	3387	2644
Tb927.8.800	Tb927_08_v5.1	223044	229637	-	6594	6909	6391	6166	4102	3239	3510	853	782	1147	4007	3930	2745	1937	2245	2253	1181	1504	1508
Tb927.8.810	Tb927_08_v5.1	231908	232909	-	1002	2324	2244	2051	2878	3297	3190	2161	1775	2259	2341	2172	1596	1998	2452	2183	1450	1838	1641
Tb927.8.820	Tb927_08_v5.1	233701	235362	-	1662	2895	2837	2585	3424	3858	3551	1998	1762	1717	1753	1633	1157	1037	1417	1223	1704	2327	2027
Tb927.8.830	Tb927_08_v5.1	237154	241713	-	4560	6070	5411	4968	3586	2924	3230	904	754	702	4636	3980	3049	2867	2983	2993	2121	2466	1763
Tb927.8.840	Tb927_08_v5.1	242762	246022	-	3261	4059	3750	3445	2974	2706	2695	1243	1035	1159	3600	3534	2725	2265	2735	2694	2047	2591	2145
Tb927.8.850	Tb927_08_v5.1	247305	249641	-	2337	2479	2266	2265	1385	1237	1282	1083	877	751	2364	2062	1548	1010	1195	1161	1571	1783	1534
Tb927.8.860	Tb927_08_v5.1	251405	252079	-	675	784	801	710	606	511	499	824	687	614	1149	1042	689	493	695	662	741	896	827
Tb927.8.870	Tb927_08_v5.1	257844	258734	-	891	624	746	766	441	581	476	328	305	239	447	521	379	265	406	378	225	352	239
Tb927.8.880	Tb927_08_v5.1	261157	263406	-	2250	1789	1661	1579	1528	1321	1271	813	756	558	2557	2296	1816	1650	1886	2015	1504	1732	1385
Tb927.8.890	Tb927_08_v5.1	266112	266738	-	627	4978	4837	4552	7892	8686	8883	2145	2039	2113	3866	3606	2606	3348	4214	3990	1148	1380	1305
Tb927.8.900	Tb927_08_v5.1	270276	271262	-	987	2543	2375	2251	2169	2370	2304	511	492	507	3010	3074	2430	2485	3017	2852	646	671	608
Tb927.8.910	Tb927_08_v5.1	283743	285140	-	1398	124	149	192	120	103	99	32	16	17	110	173	80	92	144	110	19	26	16
Tb927.8.920	Tb927_08_v5.1	285874	286356	-	483	871	832	818	1035	1187	1249	1323	1183	1471	1061	940	633	741	919	813	752	978	986
Tb927.8.930	Tb927_08_v5.1	287095	288507	-	1413	3452	3358	2851	2127	2170	2233	4769	3974	3388	1000	947	666	295	372	380	1323	1654	2023
Tb927.8.940	Tb927_08_v5.1	288901	295485	-	6585	5255	4733	4674	1682	1319	1670	1369	1501	3170	6062	5572	4265	1396	1356	1747	1345	1438	2314
Tb927.8.950	Tb927_08_v5.1	297522	298934	-	1413	4091	3917	3375	2410	2498	2340	4847	4362	3650	1296	1119	824	302	443	499	1440	1985	2293
Tb927.8.960	Tb927_08_v5.1	299328	305912	-	6585	5133	4662	4518	1642	1283	1544	1310	1441	2934	5654	5321	4124	1391	1317	1683	1215	1441	2259
Tb927.8.970	Tb927_08_v5.1	307950	309329	-	1380	2463	2246	2072	1437	1579	1521	2856	3000	2325	952	763	597	286	422	405	1064	1417	1376
Tb927.8.980	Tb927_08_v5.1	311464	313272	-	1809	4397	4285	3738	4561	5197	5006	1938	1779	1621	5754	5341	3964	4209	4904	4994	2009	2487	1952
Tb927.8.990	Tb927_08_v5.1	316912	317868	-	957	3573	2916	3012	2362	2540	3111	1251	1390	2372	5556	5649	4457	2797	3054	3241	2238	2493	4991
Tb927.8.1000	Tb927_08_v5.1	319329	320102	-	774	1424	1380	1349	915	838	937	1237	1076	1119	1327	1150	901	547	657	604	1034	1289	1329
Tb927.8.1010	Tb927_08_v5.1	320857	322329	-	1473	2004	1870	1769	1779	2066	2031	2153	1841	1894	2586	2298	1728	1571	1966	1735	2120	2546	2367
Tb927.8.1020	Tb927_08_v5.1	323522	325630	-	2109	3209	3064	2799	2372	2244	2129	1007	938	1157	2264	2273	1781	1288	1841	1645	1454	1606	1639
Tb927.8.1030	Tb927_08_v5.1	326869	327750	-	882	1829	1633	1472	1452	1446	1610	1748	1364	1330	1587	1404	1088	1003	1257	1051	1555	1825	1509
Tb927.8.1040	Tb927_08_v5.1	328540	328974	-	435	981	944	923	1176	1381	1403	1637	1427	1353	1369	1217	917	1230	1634	1394	1007	1248	1169
Tb927.8.1050	Tb927_08_v5.1	330827	338788	-	7962	4166	3891	3942	1777	1507	1603	639	797	1536	6296	5763	4323	2792	3406	3353	1293	1697	1539
Tb927.8.1060	Tb927_08_v5.1	339737	341962	-	2226	3175	2915	2866	2026	1968	1961	1406	1246	1173	2660	2278	1748	1035	1395	1267	1962	2394	2008
Tb927.8.1070	Tb927_08_v5.1	342517	345171	-	2655	3107	2883	2687	1905	1905	1917	1238	957	945	2886	2648	2054	1498	1830	1608	2140	2586	2012
Tb927.8.1080	Tb927_08_v5.1	345870	346460	-	591	1120	1030	963	1375	1391	1421	2066	1689	1778	2250	1848	1427	2204	2670	2545	1396	1887	1506
Tb927.8.1090	Tb927_08_v5.1	347671	349911	-	2241	3391	3156	3102	2664	2518	2709	1369	1116	980	3354	3236	2361	2339	2970	2766	1955	2188	1880
Tb927.8.1100	Tb927_08_v5.1	351667	354324	-	2658	5112	4633	4521	2906	2632	2677	940	855	816	3790	3568	2742	2053	2294	2215	2457	3143	2304
Tb927.8.1110	Tb927_08_v5.1	355680	356252	-	573	8545	7470	7241	17894	24754	23910	11540	11391	11258	26879	24375	20617	29713	37126	32788	17595	33830	26260
Tb927.8.1120	Tb927_08_v5.1	357127	357498	-	372	1467	1302	1225	1573	2104	2144	2615	2420	2338	1608	1480	1079	1474	1868	1663	1360	2046	1736
Tb927.8.1130	Tb927_08_v5.1	359790	364082	-	4293	5495	4849	4883	3107	2847	2810	772	750	695	1259	1273	934	417	486	512	740	902	877
Tb927.8.1140	Tb927_08_v5.1	365167	366222	-	1056	2460	2210	2099	2358	2525	2660	2228	1782	1667	1665	1546	1118	967	1179	1118	1814	2325	1809
Tb927.8.1150	Tb927_08_v5.1	367460	368488	-	1029	1858	1921	1660	1618	1607	1502	1341	1007	1045	2031	1813	1364	1231	1618	1497	993	1206	1021
Tb927.8.1160	Tb927_08_v5.1	369465	372773	-	3309	6002	5633	4901	4093	3451	3839	1608	1455	2160	6820	6569	4595	2710	3138	2995	1908	2516	2706
Tb927.8.1170	Tb927_08_v5.1	373426	374421	-	996	1763	1563	1485	2213	2757	2953	2446	2221	2209	3483	3029	2141	2869	3591	3279	1732	2396	2154
Tb927.8.1180	Tb927_08_v5.1	375582	378902	-	3321	4223	3741	3497	2644	2422	2542	1035	911	1258	3025	2726	2126	1171	1334	1320	1268	1532	1522
Tb927.8.1190	Tb927_08_v5.1	379555	380550	-	996	1520	1297	1304	1924	2336	2414	2173	1899	2118	2909	2553	1925	2351	2936	2691	1710	2333	2075
Tb927.8.1200	Tb927_08_v5.1	381716	384958	-	3243	4979	4446	4304	3267	2878	2958	1172	1050	1386	2814	2707	1935	1154	1326	1353	1313	1667	1731
Tb927.8.1210	Tb927_08_v5.1	385805	387865	-	2061	8423	7873	7018	6576	6575	7413	3035	2457	4441	5707	5181	3737	3378	4137	3982	2345	2722	2815
Tb927.8.1220	Tb927_08_v5.1	388360	389034	-	675	1737	1483	1441	2270	2748	3037	1836	1374	1485	2190	2099	1619	2303	2840	2673	1133	1567	1345
Tb927.8.1230	Tb927_08_v5.1	389676	390227	-	552	1649	1538	1475	2309	2747	2857	4554	4177	3497	2233	2035	1649	2103	2889	2491	1840	2595	2325
Tb927.8.1240	Tb927_08_v5.1	391386	393080	-	1695	1858	1800	1706	1628	1720	1550	962	780	657	1606	1555	1095	1028	1423	1278	1113	1304	1081
Tb927.8.1250	Tb927_08_v5.1	394308	396719	-	2412	5536	5231	4822	2743	3044	3022	1425	1344	1397	3662	3616	2688	1701	2060	1961	1718	2186	1569
Tb927.8.1260	Tb927_08_v5.1	397388	400492	-	3105	2135	1717	1941	1364	1252	1378	1009	789	983	3103	2826	2013	1811	2095	1980	2065	2662	2085
Tb927.8.1270	Tb927_08_v5.1	401510	402970	-	1461	1820	1464	1682	1416	1363	1576	1194	964	1385	3702	3396	2578	2981	3646	3435	2042	2499	1986
Tb927.8.1280	Tb927_08_v5.1	405197	409378	-	4182	2654	2826	2364	1688	1504	1399	512	508	612	2070	2006	1441	873	1038	1050	893	1072	851
Tb927.8.1290	Tb927_08_v5.1	414144	417464	-	3321	639	807	795	387	423	359	67	90	131	507	639	494	229	380	344	116	190	137
Tb927.8.1300	Tb927_08_v5.1	419851	422019	-	2169	2525	2288	2354	1626	1518	1603	826	629	746	3058	2877	2311	1802	2227	2133	1682	2067	1618
Tb927.8.1305	Tb927_08_v5.1	423631	423732	-	102	385	390	351	242	258	310	626	583	724	640	512	351	191	252	242	607	771	759
Tb927.8.1310	Tb927_08_v5.1	424654	425658	-	1005	1815	1592	1583	1391	1372	1500	1813	1608	1340	2621	2486	1826	1563	2071	1921	2715	3652	2845
Tb927.8.1320	Tb927_08_v5.1	426876	427598	-	723	1884	1830	1638	1920	1858	2157	2932	2104	2610	2101	2005	1444	1402	1925	1767	2295	2936	2585
Tb927.8.1330	Tb927_08_v5.1	428242	429072	-	831	11039	9771	9704	26846	39856	39842	19783	21694	18341	32744	32371	25838	40111	52920	46293	16977	32763	25482
Tb927.8.1340	Tb927_08_v5.1	429328	430158	-	831	11491	10104	10012	26889	39215	40081	23625	25652	21406	34533	31906	25472	39452	51423	44821	19979	38333	29917
Tb927.8.1350	Tb927_08_v5.1	430515	431603	-	1089	1579	1421	1278	1198	1192	1331	1614	1334	1503	2281	2137	1695	1637	2384	2001	1572	1953	2119
Tb927.8.1360	Tb927_08_v5.1	432137	444811	-	12675	4375	4271	4397	1891	1574	2187	677	608	1360	9586	9750	7423	3576	4074	4425	978	1140	979
Tb927.8.1370	Tb927_08_v5.1	445051	445512	-	462	511	475	460	572	825	732	2796	2583	2684	985	773	581	713	985	866	1057	1538	1327
Tb927.8.1380	Tb927_08_v5.1	446031	447095	+	1065	1326	1169	1105	996	1232	1203	3641	3529	2986	1361	1169	786	807	1122	985	1951	2775	2475
Tb927.8.1390	Tb927_08_v5.1	460827	461729	+	903	585	477	468	285	327	363	622	543	461	439	350	286	138	171	201	591	796	704
Tb927.8.1400	Tb927_08_v5.1	462702	463460	+	759	562	511	539	426	360	450	895	726	791	446	405	311	153	208	232	725	947	826
Tb927.8.1410	Tb927_08_v5.1	464033	466366	+	2334	1802	1475	1658	1701	1802	2033	1514	1263	1402	2584	2189	1587	1832	2145	2044	1884	2286	1932
Tb927.8.1420	Tb927_08_v5.1	466770	468329	+	1560	3004	2697	2552	3274	3648	3945	3152	2467	3142	4436	4343	3201	3404	4265	3952	2836	3484	3088
