# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-t" "CDS" "-g" "gene_id" "-a" "/tmp/1762.1.all.q/genomes/tb927_5/tb927_5.gtf" "-o" "/tmp/1762.1.all.q/B_sub_3/counts_CDS.txt" "/tmp/1762.1.all.q/B_sub_3/B_sub_3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/1762.1.all.q/B_sub_3/B_sub_3_sorted.bam
Tb927.8.1480	Tb927_08_v5.1	478123	485529	+	7407	1080
Tb927.8.1490	Tb927_08_v5.1	486195	486506	+	312	867
Tb927.8.1500	Tb927_08_v5.1	487358	489163	+	1806	2019
Tb927.8.1510	Tb927_08_v5.1;Tb927_08_v5.1	490829;493378	492053;493862	+;+	1710	2985
Tb927.8.1520	Tb927_08_v5.1	495041	496219	+	1179	2123
Tb927.8.1530	Tb927_08_v5.1	496662	498110	+	1449	1200
Tb927.8.1540	Tb927_08_v5.1	499315	501987	+	2673	653
Tb927.8.1550	Tb927_08_v5.1	503216	505552	+	2337	798
Tb927.8.1560	Tb927_08_v5.1	508257	510107	+	1851	1242
Tb927.8.1570	Tb927_08_v5.1	511166	511984	+	819	888
Tb927.8.1580	Tb927_08_v5.1	514037	514870	+	834	1459
Tb927.8.1590	Tb927_08_v5.1	516817	529731	+	12915	694
Tb927.8.1600	Tb927_08_v5.1;Tb927_08_v5.1	531183;531411	533165;533165	+;+	1983	3172
Tb927.8.1610	Tb927_08_v5.1	537142	538806	+	1665	2097
Tb927.8.1620	Tb927_08_v5.1	539335	540999	+	1665	2058
Tb927.8.1630	Tb927_08_v5.1	541528	543192	+	1665	2137
Tb927.8.1640	Tb927_08_v5.1	543721	545385	+	1665	2262
Tb927.8.1650	Tb927_08_v5.1	546659	548434	+	1776	322
Tb927.8.1660	Tb927_08_v5.1	552517	552753	+	237	16
Tb927.8.1665	Tb927_08_v5.1	555012	555359	-	348	865
Tb927.8.1670	Tb927_08_v5.1	558245	560023	-	1779	1586
Tb927.8.1680	Tb927_08_v5.1	560864	561466	-	603	3980
Tb927.8.1690	Tb927_08_v5.1	561910	563889	-	1980	1553
Tb927.8.1700	Tb927_08_v5.1;Tb927_08_v5.1	564780;564780	566789;567035	-;-	2256	1322
Tb927.8.1710	Tb927_08_v5.1	567707	568921	-	1215	1117
Tb927.8.1720	Tb927_08_v5.1	570368	572215	-	1848	1638
Tb927.8.1730	Tb927_08_v5.1	572606	572989	-	384	3472
Tb927.8.1740	Tb927_08_v5.1	574026	575789	-	1764	995
Tb927.8.1750	Tb927_08_v5.1	576442	576816	-	375	4197
Tb927.8.1760	Tb927_08_v5.1	577011	577571	-	561	1263
Tb927.8.1770	Tb927_08_v5.1	579691	581271	-	1581	1057
Tb927.8.1780	Tb927_08_v5.1	584141	586480	-	2340	104
Tb927.8.1790	Tb927_08_v5.1	588911	589381	-	471	928
Tb927.8.1800	Tb927_08_v5.1	589982	591487	-	1506	1001
Tb927.8.1810	Tb927_08_v5.1	591914	592852	-	939	1276
Tb927.8.1820	Tb927_08_v5.1	593275	594504	-	1230	791
Tb927.8.1830	Tb927_08_v5.1	594809	596482	-	1674	803
Tb927.8.1840	Tb927_08_v5.1	597457	603648	-	6192	1441
Tb927.8.1850	Tb927_08_v5.1	604175	605407	-	1233	1373
Tb927.8.1860	Tb927_08_v5.1	605805	608897	-	3093	1029
Tb927.8.1870	Tb927_08_v5.1	610513	612363	-	1851	1951
Tb927.8.1880	Tb927_08_v5.1	612941	613513	-	573	3674
Tb927.8.1890	Tb927_08_v5.1	614630	615406	-	777	1542
Tb927.8.1900	Tb927_08_v5.1	616279	617463	-	1185	788
Tb927.8.1910	Tb927_08_v5.1	617921	619105	-	1185	1159
Tb927.8.1920	Tb927_08_v5.1	620030	620917	-	888	1110
Tb927.8.1930	Tb927_08_v5.1	621146	621931	-	786	1842
Tb927.8.1940	Tb927_08_v5.1	622214	624100	-	1887	838
Tb927.8.1945	Tb927_08_v5.1	626551	626988	+	438	2194
Tb927.8.1950	Tb927_08_v5.1	627302	629434	+	2133	3865
Tb927.8.1960	Tb927_08_v5.1	629740	631044	+	1305	3328
Tb927.8.1970	Tb927_08_v5.1	631389	632303	+	915	1844
Tb927.8.1980	Tb927_08_v5.1	632487	633920	+	1434	2106
Tb927.8.1990	Tb927_08_v5.1	634173	634853	+	681	2707
Tb927.8.2000	Tb927_08_v5.1	635332	636120	+	789	3093
Tb927.8.2010	Tb927_08_v5.1	636421	636981	+	561	3525
Tb927.8.2020	Tb927_08_v5.1	637313	638308	+	996	3593
Tb927.8.2030	Tb927_08_v5.1	638854	640119	+	1266	6580
Tb927.8.2040	Tb927_08_v5.1	640605	641360	+	756	534
Tb927.8.2050	Tb927_08_v5.1	642645	643754	+	1110	3119
Tb927.8.2060	Tb927_08_v5.1	644458	653307	+	8850	1814
Tb927.8.2070	Tb927_08_v5.1	654365	654964	+	600	1387
Tb927.8.2080	Tb927_08_v5.1	656024	656584	+	561	2327
Tb927.8.2090	Tb927_08_v5.1	657751	658335	+	585	3670
Tb927.8.2100	Tb927_08_v5.1	658652	659149	+	498	1801
Tb927.8.2110	Tb927_08_v5.1	659961	661034	+	1074	1293
Tb927.8.2120	Tb927_08_v5.1	661502	662602	+	1101	2144
Tb927.8.2130	Tb927_08_v5.1	663075	664613	+	1539	1090
Tb927.8.2140	Tb927_08_v5.1	665114	665812	+	699	1660
Tb927.8.2150	Tb927_08_v5.1	666462	666827	+	366	1665
Tb927.8.2160	Tb927_08_v5.1	667841	672586	+	4746	948
Tb927.8.2170	Tb927_08_v5.1	673605	673919	+	315	3251
Tb927.8.2180	Tb927_08_v5.1	674373	674867	+	495	1206
Tb927.8.2185	Tb927_08_v5.1	675154	675408	+	255	1448
Tb927.8.2190	Tb927_08_v5.1	675666	676235	+	570	2662
Tb927.8.2200	Tb927_08_v5.1	676674	677243	+	570	2521
Tb927.8.2210	Tb927_08_v5.1	677937	678743	+	807	1347
Tb927.8.2220	Tb927_08_v5.1	679752	684239	+	4488	1522
Tb927.8.2230	Tb927_08_v5.1	684928	685950	+	1023	1100
Tb927.8.2240	Tb927_08_v5.1	686483	687904	+	1422	1949
Tb927.8.2250	Tb927_08_v5.1	688146	690689	+	2544	1774
Tb927.8.2260	Tb927_08_v5.1	692159	692758	+	600	1118
Tb927.8.2270	Tb927_08_v5.1	693822	694421	+	600	106
Tb927.8.2280	Tb927_08_v5.1	695485	696084	+	600	1213
Tb927.8.2290	Tb927_08_v5.1	697189	697848	+	660	602
Tb927.8.2300	Tb927_08_v5.1	698275	698940	+	666	976
Tb927.8.2310	Tb927_08_v5.1	699549	699878	+	330	2419
Tb927.8.2320	Tb927_08_v5.1	700426	701040	+	615	2313
Tb927.8.2330	Tb927_08_v5.1	701686	702390	+	705	2561
Tb927.8.2340	Tb927_08_v5.1	703283	703636	+	354	1246
Tb927.8.2350	Tb927_08_v5.1	704489	705568	+	1080	2009
Tb927.8.2360	Tb927_08_v5.1	705928	706488	+	561	2168
Tb927.8.2370	Tb927_08_v5.1	706861	711807	+	4947	1521
Tb927.8.2380	Tb927_08_v5.1	713071	716547	+	3477	1440
Tb927.8.2390	Tb927_08_v5.1	717543	721940	+	4398	913
Tb927.8.2395	Tb927_08_v5.1	722552	722794	+	243	1215
Tb927.8.2400	Tb927_08_v5.1	723474	724259	+	786	1451
Tb927.8.2410	Tb927_08_v5.1	724816	725529	+	714	1543
Tb927.8.2420	Tb927_08_v5.1	725998	726915	+	918	843
Tb927.8.2430	Tb927_08_v5.1	727545	731084	+	3540	1455
Tb927.8.2440	Tb927_08_v5.1	732010	732615	+	606	3414
Tb927.8.2450	Tb927_08_v5.1	733252	734184	+	933	2005
Tb927.8.2460	Tb927_08_v5.1	734935	735789	+	855	916
Tb927.8.2470	Tb927_08_v5.1	736792	737076	+	285	1505
Tb927.8.2480	Tb927_08_v5.1	737566	738573	+	1008	866
Tb927.8.2490	Tb927_08_v5.1	739775	740707	+	933	1668
Tb927.8.2500	Tb927_08_v5.1	741128	741895	+	768	1389
Tb927.8.2510	Tb927_08_v5.1	742192	742920	+	729	1944
Tb927.8.2520	Tb927_08_v5.1	743395	745416	+	2022	1863
Tb927.8.2530	Tb927_08_v5.1	748419	748763	+	345	1090
Tb927.8.2540	Tb927_08_v5.1	749535	750851	+	1317	2073
Tb927.8.2550	Tb927_08_v5.1	751686	753575	+	1890	1059
Tb927.8.2560	Tb927_08_v5.1	755590	756057	+	468	3219
Tb927.8.2570	Tb927_08_v5.1	756526	757827	+	1302	2608
Tb927.8.2580	Tb927_08_v5.1	758547	761843	+	3297	1815
Tb927.8.2590	Tb927_08_v5.1	762449	764086	+	1638	1678
Tb927.8.2600	Tb927_08_v5.1	764947	766887	+	1941	1724
Tb927.8.2610	Tb927_08_v5.1	767681	770026	+	2346	1360
Tb927.8.2620	Tb927_08_v5.1	770953	773457	+	2505	1029
Tb927.8.2630	Tb927_08_v5.1	774364	776616	+	2253	1759
Tb927.8.2640	Tb927_08_v5.1	779218	782385	+	3168	1734
Tb927.8.2650	Tb927_08_v5.1	783572	784633	+	1062	5528
Tb927.8.2660	Tb927_08_v5.1	785065	790824	+	5760	745
Tb927.8.2670	Tb927_08_v5.1	794590	795876	+	1287	3573
Tb927.8.2680	Tb927_08_v5.1;Tb927_08_v5.1	796181;796316	798142;798142	+;+	1962	3345
Tb927.8.2690	Tb927_08_v5.1	800799	801998	+	1200	634
Tb927.8.2700	Tb927_08_v5.1	803369	804088	+	720	4310
Tb927.8.2710	Tb927_08_v5.1	804397	806538	+	2142	1673
Tb927.8.2720	Tb927_08_v5.1	806882	808123	+	1242	2757
Tb927.8.2730	Tb927_08_v5.1	808373	809521	+	1149	3031
Tb927.8.2740	Tb927_08_v5.1	810553	811569	+	1017	976
Tb927.8.2750	Tb927_08_v5.1	813493	814827	+	1335	2173
Tb927.8.2760	Tb927_08_v5.1	815551	816984	+	1434	1972
Tb927.8.2770	Tb927_08_v5.1	817353	826652	+	9300	2431
Tb927.8.2780	Tb927_08_v5.1	828598	829518	+	921	10
Tb927.8.2790	Tb927_08_v5.1	837661	837978	+	318	1977
Tb927.8.2800	Tb927_08_v5.1	838362	839459	+	1098	4906
Tb927.8.2810	Tb927_08_v5.1	839871	842477	+	2607	1977
Tb927.8.2820	Tb927_08_v5.1	842913	846791	+	3879	1499
Tb927.8.2830	Tb927_08_v5.1	848100	848813	+	714	830
Tb927.8.2840	Tb927_08_v5.1	850288	851700	+	1413	1006
Tb927.8.2850	Tb927_08_v5.1	852053	853813	+	1761	914
Tb927.8.2860	Tb927_08_v5.1	865608	868304	-	2697	1785
Tb927.8.2870	Tb927_08_v5.1	868587	870833	-	2247	2213
Tb927.8.2880	Tb927_08_v5.1	872795	876190	-	3396	453
Tb927.8.2890	Tb927_08_v5.1	878180	879448	+	1269	2451
Tb927.8.2900	Tb927_08_v5.1	881678	882493	+	816	1264
Tb927.8.2910	Tb927_08_v5.1	882717	884483	+	1767	3170
Tb927.8.2920	Tb927_08_v5.1	884710	886503	+	1794	1629
Tb927.8.2930	Tb927_08_v5.1	886730	888523	+	1794	3863
Tb927.8.2940	Tb927_08_v5.1	888750	890063	+	1314	2153
Tb927.8.2950	Tb927_08_v5.1	890666	892135	+	1470	1085
Tb927.8.2960	Tb927_08_v5.1	893585	895249	+	1665	2297
Tb927.8.2970	Tb927_08_v5.1	895734	896648	+	915	1791
Tb927.8.2980	Tb927_08_v5.1	898041	899291	+	1251	1927
Tb927.8.2990	Tb927_08_v5.1	899592	900554	+	963	3202
Tb927.8.3000	Tb927_08_v5.1	900940	902472	+	1533	1022
Tb927.8.3010	Tb927_08_v5.1	903463	905676	+	2214	1106
Tb927.8.3020	Tb927_08_v5.1	907278	909089	+	1812	48
Tb927.8.3040	Tb927_08_v5.1	915645	916253	+	609	722
Tb927.8.3050	Tb927_08_v5.1	917139	918842	+	1704	731
Tb927.8.3060	Tb927_08_v5.1	919954	921969	+	2016	994
Tb927.8.3070	Tb927_08_v5.1	923210	923647	+	438	2246
Tb927.8.3080	Tb927_08_v5.1	924095	928009	+	3915	2758
Tb927.8.3090	Tb927_08_v5.1	928399	928806	+	408	2575
Tb927.8.3100	Tb927_08_v5.1	929087	930586	+	1500	1524
Tb927.8.3110	Tb927_08_v5.1	932090	933421	+	1332	1685
Tb927.8.3120	Tb927_08_v5.1	933683	934045	+	363	1246
Tb927.8.3130	Tb927_08_v5.1	934437	935861	+	1425	1638
Tb927.8.3140	Tb927_08_v5.1	936260	937180	+	921	2174
Tb927.8.3150	Tb927_08_v5.1	937606	939276	+	1671	1132
Tb927.8.3160	Tb927_08_v5.1	941510	942022	+	513	848
Tb927.8.3170	Tb927_08_v5.1	942936	945326	+	2391	1722
Tb927.8.3180	Tb927_08_v5.1	946308	949778	+	3471	1238
Tb927.8.3190	Tb927_08_v5.1	950350	951294	+	945	1359
Tb927.8.3200	Tb927_08_v5.1	952569	956786	+	4218	1311
Tb927.8.3210	Tb927_08_v5.1	957731	958249	+	519	4211
Tb927.8.3220	Tb927_08_v5.1	959090	961483	+	2394	609
Tb927.8.3230	Tb927_08_v5.1	962916	964670	+	1755	1195
Tb927.8.3240	Tb927_08_v5.1	965642	966454	+	813	616
Tb927.8.3250	Tb927_08_v5.1	967385	981409	+	14025	426
Tb927.8.3260	Tb927_08_v5.1	982395	982982	+	588	1260
Tb927.8.3270	Tb927_08_v5.1	983522	984127	+	606	1782
Tb927.8.3280	Tb927_08_v5.1	984655	985758	+	1104	2879
Tb927.8.3290	Tb927_08_v5.1	986241	992117	+	5877	1650
Tb927.8.3300	Tb927_08_v5.1	992479	994554	+	2076	1329
Tb927.8.3310	Tb927_08_v5.1	994965	996965	+	2001	1600
Tb927.8.3320	Tb927_08_v5.1	997489	998697	+	1209	1240
Tb927.8.3330	Tb927_08_v5.1	999073	999996	+	924	843
Tb927.8.3340	Tb927_08_v5.1	1001110	1002162	+	1053	1404
Tb927.8.3350	Tb927_08_v5.1	1003838	1007011	+	3174	219
Tb927.8.3360	Tb927_08_v5.1	1007953	1008351	+	399	1537
Tb927.8.3370	Tb927_08_v5.1	1008978	1009598	+	621	2532
Tb927.8.3380	Tb927_08_v5.1	1010209	1010937	+	729	1546
Tb927.8.3390	Tb927_08_v5.1	1012210	1012992	+	783	1642
Tb927.8.3400	Tb927_08_v5.1	1013993	1014886	+	894	650
Tb927.8.3410	Tb927_08_v5.1	1016368	1020924	+	4557	243
Tb927.8.3420	Tb927_08_v5.1	1023636	1024247	+	612	1379
Tb927.8.3430	Tb927_08_v5.1	1024803	1026308	+	1506	1357
Tb927.8.3440	Tb927_08_v5.1	1026825	1027160	+	336	1183
Tb927.8.3450	Tb927_08_v5.1	1027791	1028213	+	423	2705
Tb927.8.3460	Tb927_08_v5.1	1028723	1029610	+	888	1160
Tb927.8.3470	Tb927_08_v5.1	1032469	1033173	+	705	2931
Tb927.8.3480	Tb927_08_v5.1	1033756	1035582	+	1827	2547
Tb927.8.3490	Tb927_08_v5.1	1036869	1040120	+	3252	1710
Tb927.8.3500	Tb927_08_v5.1	1040450	1043293	+	2844	621
Tb927.8.3510	Tb927_08_v5.1	1043455	1044492	+	1038	667
Tb927.8.3520	Tb927_08_v5.1	1046956	1048728	+	1773	1692
Tb927.8.3521	Tb927_08_v5.1	1049855	1050154	+	300	566
Tb927.8.3530	Tb927_08_v5.1	1057497	1058561	-	1065	1758
Tb927.8.3540	Tb927_08_v5.1	1059272	1062178	-	2907	345
Tb927.8.3550	Tb927_08_v5.1	1065070	1066185	-	1116	742
Tb927.8.3560	Tb927_08_v5.1	1068931	1071717	-	2787	905
Tb927.8.3570	Tb927_08_v5.1	1075177	1075887	-	711	82
Tb927.8.3580	Tb927_08_v5.1	1076641	1078083	-	1443	635
Tb927.8.3590	Tb927_08_v5.1	1078979	1080937	-	1959	2625
Tb927.8.3600	Tb927_08_v5.1	1081477	1081815	-	339	2999
Tb927.8.3610	Tb927_08_v5.1	1082670	1084010	-	1341	3720
Tb927.8.3620	Tb927_08_v5.1	1085476	1087374	-	1899	975
Tb927.8.3630	Tb927_08_v5.1	1088840	1090738	-	1899	647
Tb927.8.3640	Tb927_08_v5.1	1091084	1092190	-	1107	1826
Tb927.8.3650	Tb927_08_v5.1	1093216	1095114	-	1899	538
Tb927.8.3660	Tb927_08_v5.1	1096057	1098966	-	2910	1581
Tb927.8.3680	Tb927_08_v5.1	1100892	1102829	-	1938	754
Tb927.8.3690	Tb927_08_v5.1	1104950	1106263	-	1314	666
Tb927.8.3700	Tb927_08_v5.1	1107346	1111806	-	4461	904
Tb927.8.3710	Tb927_08_v5.1	1112356	1114725	-	2370	3016
